id,name,artist,popularity,duration_ms,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1f58xau99Rdn0hhcJTwRhz,b'Uncommon Valor: A Vietnam Story',b'Jedi Mind Tricks',44,242200,2006,0,0,0,0,0,0,0,0,0,0,0
7eDrxsh5PQnsqiVNZxN9Z6,b'2020',b'Sol',31,224400,2012,0,0,0,0,0,0,0,0,0,0,0
6knXhIPwVrtT639MX856YN,b'Melancholy Hopeful',b'Marcus D',0,250266,2012,0,0,0,0,0,0,0,0,0,0,0
6KsqFiw7IDFQM7QHBORGlN,b'Stars Shine Brightest (In The Darkest Of Night) F. Rick Warren',b'CunninLynguists',27,242484,2011,0,0,0,0,0,0,0,0,0,0,0
0dcMqjeDpwqB2xhzMsld0p,b'El Ma\xc3\xb1ana',b'Gorillaz',62,235360,2005,0,0,0,0,0,0,0,0,0,0,0
57Xjny5yNzAcsxnusKmAfA,b'Reptilia',b'The Strokes',77,219826,2003,0,0,0,0,0,0,0,0,0,0,0
2bfGNzdiRa1jXZRdfssSzR,b'Dirty Harry',b'Gorillaz',70,230426,2005,0,0,0,0,0,0,0,0,0,0,0
3oQqC98i1EhNRcXqIMoWQD,b'Soul Of Freedom feat. Cise Starr',b'Uyama Hiroto',0,302333,2014,0,0,0,0,0,0,0,0,0,0,0
2QqAVlaV6Y45ebsXxfS5i8,b'Take Time',b'Awon',27,267906,2014,0,0,0,0,0,0,0,0,0,0,0
0w5PBGhJJBCXnGHIxTIZlD,b'When I Close My Eyes (feat. Tunji)',b'SoulChef',0,209706,2010,0,0,0,0,0,0,0,0,0,0,0
0BDXqHYDkL2dfwWKlWeoTr,"b""Say Somethin' (feat. Nieve, Noah King, Adub & Tunji)""",b'SoulChef',0,269986,2010,0,0,0,0,0,0,0,0,0,0,0
462T2Je5iJcUHIuvqYGgM9,b'Swell',b'Common Market',25,228728,2008,0,0,0,0,0,0,0,0,0,0,0
6vmPUsrVk873GWkJwygHKD,b'nagashi',b'Idealism',0,109948,2017,0,0,0,0,0,0,0,0,0,0,0
7IRTS6jZPmNBIizSiAOcQZ,"b""Boys' bop""",b'Birocratic',0,180000,2017,0,0,0,0,0,0,0,0,0,0,0
6bmJYo1KS2X2nzQrCGzdOe,b'Benzi Box (feat. CeeLo Green)',b'DANGERDOOM',0,180093,2005,0,0,0,0,0,0,0,0,0,0,0
5kY75d5UPbz9xa3inTmiC8,"b""Comin' Up (feat. Mistah F.A.B.)""",b'The Grouch & Eligh',17,244506,2009,0,0,0,0,0,0,0,0,0,0,0
3dPQuX8Gs42Y7b454ybpMR,b'Seven Nation Army',b'The White Stripes',3,231733,2003,0,0,0,0,0,0,0,0,0,0,0
4M88Wd7Aps5LGRWMOC7gSH,b'Some Kind of Nature (feat. Lou Reed)',b'Gorillaz',50,179866,2010,0,0,0,0,0,0,0,0,0,0,0
1RKUoGiLEbcXN4GY4spQDx,b'Clint Eastwood',b'Gorillaz',68,340920,2001,0,0,0,0,0,0,0,0,0,0,0
4iG2gAwKXsOcijVaVXzRPW,b'Time to Pretend',b'MGMT',73,261000,2007,0,0,0,0,0,0,0,0,0,0,0
4j4pPKE3xAblPIbhxScC1j,b'Rawnald Gregory Erickson the Second',b'STRFKR',59,173693,2008,0,0,0,0,0,0,0,0,0,0,0
5KUNwkaNf8l5A9sXZhiCgI,b'Rapp Snitch Knishes feat. Mr. Fantastik',b'MF DOOM',0,172893,2004,0,0,0,0,0,0,0,0,0,0,0
6lrDckuosGpwEHtm1hHBcf,b'November Has Come',b'Gorillaz',66,165093,2005,0,0,0,0,0,0,0,0,0,0,0
5WmxGs0hBmoo9bcGlY0twV,b'Beautiful Girl',b'CunninLynguists',34,204706,2006,0,0,0,0,0,0,0,0,0,0,0
5NcQLidkHKJHjzhhxPkbx3,b'Black Lake',b'Emancipator',0,218573,2010,0,0,0,0,0,0,0,0,0,0,0
1sE6ODOwN9yI7PO0xCpSPD,b'THE POSSE',b'The Grouch',8,254678,2014,0,0,0,0,0,0,0,0,0,0,0
4dLM3Batl5GAUQyZdCbVFo,b'Anotha (BBQ)',b'People Under The Stairs',0,266946,2008,0,0,0,0,0,0,0,0,0,0,0
0U6Rolz9wr2tAkVPKUKNU5,b'Before and After',b'Lyrics Born',17,276213,2003,0,0,0,0,0,0,0,0,0,0,0
3njlXiLTQyFXQwXNB9qvRb,b'So Cold',b'Collective Efforts',5,197920,2010,0,0,0,0,0,0,0,0,0,0,0
5roUoEWuTQ8Z8meO0A1Pcf,b'Pictures On My Wall',b'People Under The Stairs',23,276733,2014,0,0,0,0,0,0,0,0,0,0,0
10KM0tUxrvaCQV25hq6dL8,b'The Travelers',b'Brother Ali',0,318133,2009,0,0,0,0,0,0,0,0,0,0,0
5kfBmqSGinIjj3dZsclSX0,b'Motion Movement',b'Blue Scholars',21,226946,2004,0,0,0,0,0,0,0,0,0,0,0
5my9fP5XJ2oo0YHT43pJYu,b'Antenna',b'Zion I',20,238973,2009,0,0,0,0,0,0,0,0,0,0,0
3koCCeSaVUyrRo3N2gHrd8,"b""Let's Groove""","b'Earth, Wind & Fire'",74,339320,1981,0,0,0,0,0,0,0,0,0,0,0
